APM0009087,10038,LS-OMS,Lightspeed Order Management System,In Production,LS-OMS - Prod,p3oms4d44@dll11r002c004vm01,Oracle Instance,DHRUBA P PANDEY,CANDICE MCLEOD,cx4764,19.30.0.0.0,,,,In Use
APM0008934,8936,OUS,Oracle Utility Server,In Production,OUS - Prod,p3ous1d1@p3ous1d1,Oracle Instance,JOEL THATCHER,JOSEPH GREEN,jg098r,19.28.0.0.0,,,,In Use
APM0010037,18193,TLG-MOB,Telegence - Mobility,In Production,TLG-MOB - Consumer - Prod,P3PACC1_1@flphtdt1,Oracle Instance,KEVIN GARDNER,CANDICE MCLEOD,cx4764,19.29.0.0.0,,,,
APM0008879,8227,CRE-EPI,CRE-Episuite,In Production,CRE-EPI - Prod,p3rid1d2@p3rid1d2,Oracle Instance,ESME SANCHEZ,JWYANZA WATT,jn8142,19.30.0.0.0,,,,In Use
APM0009152,10727,ORMC,Oracle Recovery Manager Catalog Framework,In Production,ORMC - Prod,p3rmn1d5@olph817,Oracle Instance,VISHAL BHARDWAJ,JOSEPH GREEN,jg098r,19.31.0.0.0,,,,In Use
APM0009152,10727,ORMC,Oracle Recovery Manager Catalog Framework,In Production,ORMC - Prod,p3rmn1d6@olph817,Oracle Instance,VISHAL BHARDWAJ,JOSEPH GREEN,jg098r,19.28.0.0.0,,,,In Use
APM0009527,14263,SPP,Service Provisioning Platform,In Production,SPP - Consumer - Prod,p3spp1d1@alpi232,Oracle Instance,VEER DAVANGERE RAJASEKHAR,RAJ SAVOOR,rs1954,11.2.0.4.0,,,,In Use
APM0009527,14263,SPP,Service Provisioning Platform,In Production,SPP - Consumer - Prod,p3spp1d2@klpi229,Oracle Instance,VEER DAVANGERE RAJASEKHAR,RAJ SAVOOR,rs1954,11.2.0.4.0,,,,In Use
APM0010332,19795,SMART Sales and Revenue Tracking,Sales Management and Revenue Tracking,In Production,SMART Sales and Revenue Tracking - Prod,p3spu2d1@flpv0644,Oracle Instance,NAVIN SHANMUGAM,SAPNA JAIN,sj9380,19.29.0.0.0,,,,In Use
APM0009041,9893,WID,WEBID,In Production,WID - Prod,p3wid1d2@p3wid1d2,Oracle Instance,ESME SANCHEZ,JWYANZA WATT,jn8142,19.30.0.0.0,,,,In Use
APM0012504,28203,OWMS,Oracle Warehouse Management,In Production,OWMS - Prod,P3WMSCDB@zlpy37825,Oracle Instance,MOHIT CHAWLA,CANDICE MCLEOD,cx4764,19.0.0,,,,In Use
APM0010228,19181,CS FOBPM,Common Services Front Office Business Process Management,In Production,CS FOBPM - Consumer - Prod,"P3_cassandra_cluster__(invoke with -T/--tokens to see all 256 tokens)__RAC1@olpd242
P3_cassandra_cluster__d4f7dfc9-43ea-4ebe-ad8d-d4093f9e9370__RAC1@olpd242
P3_cassandra_cluster__true__RAC1@olpd242
P3_cassandra_cluster__true__RAC1@olpd242
P3_cassandra_clu",Cassandra Instance,LEE ROSENTHAL,RAJ SAVOOR,rs1954,1.2.9,APACHE,,,
